"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AWJ11_00655",2122.86641570836,6.44725453858811,0.130523801801102,49.3952401755255,0,0
"AWJ11_00890",2508.16172086279,4.20159814548381,0.0990140761196989,42.4343518633095,0,0
"AWJ11_00895",4735.64354752723,3.86807363910247,0.0776614344343394,49.8068786299952,0,0
"AWJ11_00985",1627.31364588674,5.84008062545332,0.117400607753316,49.7448926135423,0,0
"AWJ11_01175",3875.76331403217,-4.75238025204206,0.107248100890249,-44.3120224283071,0,0
"AWJ11_02755",2259.25666030569,5.29638166642716,0.0989856773807739,53.5065456596641,0,0
"AWJ11_03170",7498.68057379617,4.623774580607,0.0971463547387455,47.5959658295121,0,0
"AWJ11_03345",2390.72802112099,9.18103551211089,0.223684860408596,41.0445100993437,0,0
"AWJ11_03780",843.504726292306,6.28676290967057,0.159890759556355,39.3191134191512,0,0
"AWJ11_03795",5273.29986539455,5.95816691392734,0.0906471855311618,65.7291991915082,0,0
"AWJ11_03860",1822.06563647778,5.11695478155295,0.107339121661954,47.6709209310276,0,0
"AWJ11_03865",747.226155882337,5.54802995340203,0.143697000319906,38.6092259480066,0,0
"AWJ11_03870",4657.45189517906,6.8020810957479,0.10203992322058,66.6609781844293,0,0
"AWJ11_03875",1455.22702686515,4.12635751897313,0.099483896281895,41.4776428466452,0,0
"AWJ11_04260",1558.1972029778,4.57532013948862,0.0969160958826968,47.2090842890163,0,0
"AWJ11_04395",2715.88122132083,-4.6506455135775,0.109796859649226,-42.356817202561,0,0
"AWJ11_04520",1042.85885217443,4.28153951676167,0.106825061761358,40.0799161373427,0,0
"AWJ11_05335",1913.83623229618,6.31905296915508,0.122468902546647,51.5972041698358,0,0
"AWJ11_05365",1863.88913663604,5.14432082884671,0.111238336814971,46.2459344156103,0,0
"AWJ11_05370",1491.09907774168,6.541453532732,0.137505277608659,47.5723815586849,0,0
"AWJ11_06405",1603.22590012158,8.3067555921025,0.206458060093933,40.2345909301052,0,0
"AWJ11_06410",2541.10590770454,9.04978601540062,0.209712584773918,43.1532805966643,0,0
"AWJ11_06415",1784.47159406905,6.49783694694887,0.13050180404718,49.7911656807422,0,0
"AWJ11_06420",1595.75714052038,7.47798985049973,0.164361459405932,45.4972222656587,0,0
"AWJ11_06425",1456.61288805336,7.90379056017347,0.194210174986261,40.6970981861924,0,0
"AWJ11_06435",1532.54151929635,6.79310475627498,0.14287687122489,47.5451673740991,0,0
"AWJ11_06440",3035.89640881341,6.48576474455057,0.108778413056166,59.6236382047764,0,0
"AWJ11_06450",5521.88132155956,6.61557533150497,0.0931584923873317,71.0141948626532,0,0
